id,name,province,province_code,postcode_area,type,map_reference,latitude,longitude,census_division,area_code,time_zone
9492,Aalders Landing,Nova Scotia,NS,B0S,Unincorporated area,021A15,44.82856,-64.90723,Annapolis,902,America/Halifax
9493,Abercrombie,Nova Scotia,NS,B2H,Unincorporated area,011E10,45.63099,-62.69044,Pictou,902,America/Halifax
9494,Aberdeen,Nova Scotia,NS,B0E,Unincorporated area,011F14,45.97087,-61.05949,Inverness,902,America/Halifax
9495,Abrams River,Nova Scotia,NS,B0W,Unincorporated area,020P13,43.82968,-65.94081,Yarmouth,902,America/Halifax
9496,Acaciaville,Nova Scotia,NS,B0V,Unincorporated area,021A12,44.58232,-65.76246,Digby,902,America/Halifax
9497,Academy,Nova Scotia,NS,B2H,Unincorporated area,011E10,45.60931,-62.59927,Pictou,902,America/Halifax
9498,Addington Forks,Nova Scotia,NS,B2G,Unincorporated area,011E09,45.56312,-62.08147,Antigonish,902,America/Halifax
9499,Admiral Rock,Nova Scotia,NS,B0N,Unincorporated area,011E03,45.17026,-63.40845,Hants,902,America/Halifax
9500,Advocate Harbour,Nova Scotia,NS,B0M,Unincorporated area,021H07,45.33393,-64.77733,Cumberland,902,America/Halifax
9501,Afton,Nova Scotia,NS,B0H,Unincorporated area,011F12,45.60775,-61.71330,Antigonish,902,America/Halifax
9502,Afton Station,Nova Scotia,NS,B0H,Unincorporated area,011F12,45.60788,-61.72250,Antigonish,902,America/Halifax
9503,Ainslie Glen,Nova Scotia,NS,B0E,Unincorporated area,011K03,46.02076,-61.13717,Inverness,902,America/Halifax
9504,Alba,Nova Scotia,NS,B0E,Unincorporated area,011F14,45.93009,-61.00343,Inverness,902,America/Halifax
9505,Albany,Nova Scotia,NS,B0S,Unincorporated area,021A14,44.77573,-65.05690,Annapolis,902,America/Halifax
9506,Albany Cross,Nova Scotia,NS,B0S,Unincorporated area,021A11,44.72017,-65.02320,Annapolis,902,America/Halifax
9507,Albany New,Nova Scotia,NS,B0S,Unincorporated area,021A06,44.45750,-65.08917,Annapolis,902,America/Halifax
9508,Albert Bridge,Nova Scotia,NS,B1K,Unincorporated area,011K01,46.01654,-60.05951,Cape Breton,902,America/Glace_Bay
9509,Albro Lake,Nova Scotia,NS,B3A,Unincorporated area,011D12,44.68414,-63.58129,Halifax,902,America/Halifax
9510,Alderney Point,Nova Scotia,NS,B0E,Unincorporated area,011F07,45.49036,-60.95725,Richmond,902,America/Halifax
9511,Alder Plains,Nova Scotia,NS,B0W,Unincorporated area,021A04,44.11744,-65.65960,Yarmouth,902,America/Halifax
9512,Alder Point,Nova Scotia,NS,B1Y,Unincorporated area,011K08,46.29346,-60.28385,Cape Breton,902,America/Glace_Bay
9513,Alder River,Nova Scotia,NS,B0H,Unincorporated area,011F05,45.48772,-61.71826,Guysborough,902,America/Halifax
9514,Aldershot,Nova Scotia,NS,B4N,Unincorporated area,021H02,45.09234,-64.51040,Kings,902,America/Halifax
9515,Aldersville,Nova Scotia,NS,B0J,Unincorporated area,021A15,44.81705,-64.50221,Lunenburg,902,America/Halifax
9516,Allains Creek,Nova Scotia,NS,B0S,Unincorporated area,021A12,44.73010,-65.52374,Annapolis,902,America/Halifax
9517,Allendale,Nova Scotia,NS,B0T,Unincorporated area,020P11,43.75104,-65.09229,Shelburne,902,America/Halifax
9518,Allen Heights,Nova Scotia,NS,B3Z,Unincorporated area,011D12,44.68400,-63.89973,Halifax,902,America/Halifax
9519,Allen Hill,Nova Scotia,NS,B0M,Unincorporated area,021H07,45.40057,-64.71894,Cumberland,902,America/Halifax
9520,Allenville,Nova Scotia,NS,B0M,Unincorporated area,021H07,45.37203,-64.70161,Cumberland,902,America/Halifax
9521,Allison Lake,Nova Scotia,NS,B0S,Unincorporated area,021A11,44.57199,-65.26831,Annapolis,902,America/Halifax
9522,Alma,Nova Scotia,NS,B0K,Unincorporated area,011E10,45.57838,-62.76032,Pictou,902,America/Halifax
9523,Alpena,Nova Scotia,NS,B0S,Unincorporated area,021A14,44.83382,-65.04408,Annapolis,902,America/Halifax
9524,Alpine Ridge,Nova Scotia,NS,B0E,Unincorporated area,011K03,46.01541,-61.41050,Inverness,902,America/Halifax
